이름,타율,BABIP,볼넷%,삼진%,볼/삼,ISO,타수/홈런,OPS,RC,RC/27,wRC,SPD,wSB,wOBA,wRAA
손시헌,0.188,0.206,10.0,13.3,0.75,0.078,64.0,0.561,11.35,2.81,9.01,3.41,0.53,0.263,-12.06
오선진,0.226,0.293,4.7,22.3,0.21,0.052,133.0,0.568,11.69,2.92,8.15,4.6,0.6,0.258,-12.64
최영진,0.294,0.351,7.1,21.4,0.33,0.15,31.5,0.785,16.79,4.44,18.3,1.68,-1.67,0.334,-1.37
안익훈,0.22,0.241,5.9,8.9,0.67,0.032,500,0.523,8.07,2.1,4.9,2.58,-0.25,0.239,-14.07
이성우,0.242,0.276,6.0,11.9,0.5,0.041,500,0.575,10.07,2.72,7.7,2.45,0.39,0.26,-11.12
이우성,0.193,0.266,7.5,29.3,0.26,0.101,59.5,0.559,8.59,2.23,6.31,1.71,-0.84,0.25,-12.38
정현,0.265,0.333,6.8,21.2,0.32,0.111,58.5,0.693,14.3,4.06,13.18,3.85,0.55,0.303,-5.37
박동원,0.248,0.267,7.0,19.5,0.36,0.179,19.5,0.729,14.53,4.22,13.15,2.52,0.26,0.306,-4.83
이종욱,0.23,0.255,3.1,12.5,0.25,0.081,122.0,0.563,9.24,2.52,5.1,3.71,-0.23,0.242,-12.88
정상호,0.223,0.316,6.2,27.3,0.23,0.063,112.0,0.59,9.81,2.82,8.6,2.37,-0.24,0.27,-9.38
주효상,0.218,0.315,7.9,28.6,0.28,0.055,110.0,0.568,9.07,2.61,7.49,2.77,-0.7,0.262,-10.21
김문호,0.25,0.324,11.3,23.5,0.48,0.13,50.0,0.716,13.36,4.57,12.76,2.94,0.35,0.314,-3.4
정수빈,0.367,0.4,9.8,11.6,0.85,0.102,49.0,0.898,21.24,8.56,20.98,6.31,-0.26,0.391,5.24
김인태,0.263,0.348,11.0,23.8,0.46,0.105,95.0,0.711,13.35,5.01,12.39,3.9,0.27,0.317,-2.92
강승호,0.191,0.266,8.3,27.5,0.3,0.075,94.0,0.54,7.6,2.5,4.93,2.69,-0.23,0.248,-10.38
김민하,0.216,0.277,4.6,27.8,0.17,0.135,32.33,0.625,6.65,2.0,7.1,2.43,-2.17,0.269,-8.07
지석훈,0.181,0.211,7.6,19.0,0.4,0.053,94.0,0.472,5.9,1.94,1.38,3.28,0.29,0.215,-13.38
강승호,0.322,0.443,8.7,26.2,0.33,0.134,45.0,0.846,16.66,6.92,16.91,2.3,0.29,0.368,2.44
김회성,0.259,0.327,10.8,25.5,0.42,0.2,21.25,0.823,14.44,5.73,15.47,2.58,0.34,0.355,1.14
한승택,0.247,0.306,6.9,23.8,0.29,0.169,29.67,0.732,10.93,3.99,11.2,0.69,0.21,0.314,-2.99
김동한,0.193,0.215,9.4,18.8,0.5,0.084,41.5,0.543,7.05,2.61,4.18,4.82,-0.08,0.246,-9.3
최정민,0.253,0.311,7.4,21.0,0.35,0.096,41.5,0.668,8.51,3.24,8.9,4.39,-1.31,0.297,-4.44
샌즈,0.314,0.313,6.4,29.0,0.22,0.453,7.17,1.122,21.89,9.38,21.66,3.87,-0.37,0.438,8.59
김형준,0.16,0.265,7.9,36.0,0.22,0.013,500,0.409,3.25,1.24,-0.22,0.94,0.19,0.2,-12.72
임훈,0.229,0.258,3.4,17.0,0.2,0.108,41.5,0.593,6.44,2.52,4.5,2.0,0.16,0.254,-7.86
홍재호,0.263,0.302,9.2,13.8,0.67,0.119,76.0,0.715,9.75,4.32,9.75,3.32,0.2,0.315,-2.48
류승현,0.307,0.349,8.2,14.1,0.58,0.106,75.0,0.782,11.68,5.63,11.77,3.57,0.24,0.342,-0.17
서상우,0.29,0.353,14.3,21.4,0.67,0.087,34.5,0.77,11.34,5.78,12.21,2.68,-0.25,0.349,0.41
박찬도,0.233,0.378,9.8,34.2,0.29,0.082,500,0.624,7.29,3.28,6.53,8.33,-1.19,0.283,-4.99
박승욱,0.308,0.408,12.7,20.2,0.62,0.046,500,0.77,11.1,6.12,12.13,4.77,0.07,0.357,1.03
최승준,0.25,0.326,7.6,31.6,0.24,0.208,18.0,0.774,9.7,4.59,9.77,-0.71,0.17,0.327,-1.33
김사훈,0.23,0.327,1.3,27.8,0.04,0.04,500,0.52,5.31,2.39,2.02,3.87,0.15,0.228,-9.07
윤수강,0.192,0.255,6.3,26.6,0.24,0.123,73.0,0.559,5.66,2.51,3.18,2.97,0.11,0.243,-7.92
전병우,0.364,0.525,11.7,31.2,0.38,0.242,22.0,1.048,19.12,11.73,17.93,5.07,0.48,0.437,7.11
