이름,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,홈런,볼넷,고4,사구,삼진,보크,폭투,WHIP,ERA+,FIP+
이승현,124.0,0.0,0.0,0.0,6.0,3.0,0.0,8.0,130.1,83.0,74.0,603.0,141.0,21.0,68.0,1.0,8.0,116.0,1.0,6.0,1.6,98.0,85.8
김승현,72.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,80.0,52.0,46.0,391.0,104.0,10.0,49.0,2.0,11.0,69.0,0.0,11.0,1.91,99.7,87.2
이수민,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,5.0,5.0,53.0,11.0,0.0,11.0,1.0,2.0,8.0,0.0,0.0,2.2,114.4,87.7
홍정우,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,5.0,3.0,12.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.5,22.3,67.6
최충연,126.0,0.0,0.0,11.0,5.0,18.0,9.0,19.0,191.0,131.0,131.0,888.0,216.0,22.0,101.0,3.0,13.0,192.0,1.0,18.0,1.66,83.5,101.9
장지훈,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,7.0,7.0,47.0,16.0,0.0,5.0,0.0,1.0,12.0,0.0,1.0,2.52,67.1,167.3
최지광,36.0,0.0,0.0,6.0,2.0,5.0,0.0,2.0,57.2,40.0,37.0,267.0,56.0,3.0,40.0,1.0,3.0,51.0,1.0,3.0,1.67,88.0,104.5
김용하,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,19.0,2.0,0.0,4.0,0.0,3.0,4.0,0.0,0.0,2.0,58.9,63.0
양창섭,19.0,0.0,0.0,17.0,7.0,6.0,0.0,0.0,87.1,52.0,49.0,400.0,100.0,12.0,34.0,0.0,10.0,49.0,1.0,3.0,1.53,105.0,87.4
원태인,10.0,0.0,0.0,4.0,1.0,3.0,0.0,2.0,30.1,15.0,12.0,124.0,25.0,2.0,7.0,0.0,2.0,22.0,0.0,1.0,1.06,127.1,114.9
강지광,19.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,18.1,16.0,16.0,87.0,22.0,1.0,11.0,0.0,0.0,9.0,0.0,1.0,1.8,65.0,97.6
김광현,277.0,8.0,3.0,256.0,125.0,72.0,0.0,2.0,1541.0,650.0,577.0,6515.0,1452.0,134.0,622.0,10.0,38.0,1345.0,3.0,69.0,1.35,135.8,112.3
김주한,109.0,0.0,0.0,4.0,10.0,6.0,6.0,14.0,135.0,89.0,83.0,608.0,153.0,18.0,52.0,5.0,9.0,100.0,2.0,5.0,1.52,93.3,98.8
김태훈,146.0,0.0,0.0,12.0,13.0,8.0,7.0,17.0,198.1,118.0,107.0,901.0,215.0,19.0,100.0,9.0,11.0,173.0,0.0,25.0,1.59,98.4,101.1
김택형,97.0,0.0,0.0,10.0,9.0,8.0,0.0,13.0,110.0,104.0,94.0,543.0,140.0,15.0,76.0,0.0,7.0,118.0,0.0,16.0,1.96,66.5,91.5
다익손,9.0,0.0,0.0,9.0,3.0,1.0,0.0,0.0,49.1,22.0,21.0,205.0,43.0,5.0,14.0,0.0,2.0,38.0,0.0,1.0,1.16,118.8,105.0
문승원,106.0,1.0,0.0,77.0,21.0,28.0,1.0,1.0,445.1,274.0,253.0,1977.0,526.0,74.0,140.0,2.0,23.0,312.0,1.0,12.0,1.5,93.9,86.7
박민호,84.0,0.0,0.0,4.0,3.0,5.0,0.0,5.0,108.1,70.0,58.0,490.0,125.0,12.0,33.0,1.0,17.0,45.0,0.0,1.0,1.46,104.5,89.0
박정배,366.0,0.0,0.0,5.0,28.0,23.0,20.0,59.0,439.1,243.0,228.0,1906.0,429.0,55.0,180.0,16.0,31.0,325.0,1.0,29.0,1.39,99.1,93.3
박종훈,144.0,0.0,0.0,122.0,42.0,40.0,0.0,1.0,643.1,370.0,334.0,2882.0,652.0,61.0,293.0,3.0,92.0,507.0,0.0,16.0,1.47,102.3,92.8
