이름,연도,피안타,피2루타,피3루타,피홈런,FIP,K/9,BB/9,삼진율,사구율,PFR,피안타율,피장타율,경기당이닝수,P/PA,뜬공/땅볼,장타/안타
장시환,2017,48,9,0,6,31,4.90,9.99,5.44,25.0,13.6,1.71,0.253,0.395,1.0,4.17,1.24
장시환,2018,39,4,2,5,19,5.01,10.8,4.66,25.3,10.9,1.72,0.264,0.419,1.2,4.02,1.03
안영명,2015,137,23,1,15,60,5.54,5.89,4.31,14.4,10.6,1.13,0.285,0.43,3.6,3.92,1.32
안영명,2016,9,3,0,0,4,7.54,3.38,13.5,4.5,18.2,1.88,0.529,0.706,1.3,3.5,0.75
안영명,2017,123,30,2,11,28,5.20,5.54,2.88,13.2,6.8,0.94,0.336,0.519,3.5,3.81,0.93
안영명,2018,83,10,0,12,15,5.56,6.55,2.05,16.5,5.2,0.96,0.311,0.483,1.3,3.74,1.39
전유수,2015,66,12,1,9,42,4.58,9.73,4.87,24.9,12.5,1.62,0.233,0.378,1.2,4.34,0.96
전유수,2016,67,12,2,6,29,4.95,7.45,4.8,17.6,11.4,1.36,0.3,0.453,1.2,3.68,1.06
전유수,2017,28,8,0,1,13,4.61,8.71,5.66,19.4,12.6,1.6,0.333,0.464,1.2,4.2,1.4
전유수,2018,21,5,0,3,8,6.00,7.5,4.0,18.5,9.9,1.28,0.3,0.5,1.1,4.44,1.43
박정배,2015,25,3,2,3,13,4.37,9.95,4.62,24.3,11.3,1.62,0.258,0.423,1.1,4.03,1.2
박정배,2016,55,17,1,6,17,5.40,4.53,2.96,11.7,7.6,0.83,0.284,0.474,1.1,3.48,1.15
박정배,2017,58,12,2,9,33,5.34,6.49,4.37,16.9,11.4,1.21,0.24,0.417,1.1,3.57,0.89
박정배,2018,51,15,0,9,12,5.29,8.87,2.42,22.3,6.1,1.25,0.282,0.514,0.9,3.67,1.21
채병용,2015,103,17,2,17,27,5.45,8.46,2.93,21.3,7.4,1.27,0.309,0.526,2.5,4.05,0.67
채병용,2016,77,14,1,9,29,4.70,7.21,3.12,19.4,8.4,1.15,0.253,0.395,1.2,3.81,0.98
채병용,2017,62,14,0,8,15,5.06,7.74,2.7,18.6,6.5,1.16,0.298,0.481,1.2,3.58,1.19
채병용,2018,33,5,0,8,8,7.20,4.5,2.4,11.7,6.3,0.77,0.28,0.525,1.0,3.45,0.52
정찬헌,2015,49,8,0,3,14,4.21,6.55,2.86,16.8,7.3,1.05,0.299,0.402,1.4,3.59,0.98
