이름,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,볼넷,사구,고4,삼진,타율,출루,장타,OPS
고승민,7,15,15,3,6,1,2,0,11,4,0,0,0,3,0.4,0.4,0.733,1.133
김동한,252,447,396,58,95,28,1,6,143,41,31,0,0,66,0.24,0.294,0.361,0.655
문규현,985,2685,2361,269,592,110,7,26,794,259,165,21,2,392,0.251,0.302,0.336,0.639
배성근,9,8,7,1,3,0,0,0,3,1,1,0,0,3,0.429,0.5,0.429,0.929
신본기,546,1595,1382,192,352,64,2,22,486,181,118,45,4,305,0.255,0.331,0.352,0.682
신용수,2,3,3,1,1,0,0,1,4,2,0,0,0,1,0.333,0.333,1.333,1.667
오윤석,80,157,138,24,34,1,0,2,41,11,11,2,0,34,0.246,0.309,0.297,0.606
이대호,1480,6105,5300,785,1660,259,5,304,2841,1089,586,159,74,807,0.313,0.395,0.536,0.931
전병우,37,96,85,19,26,8,0,3,43,13,9,1,0,32,0.306,0.375,0.506,0.881
채태인,1137,4112,3653,463,1089,202,9,117,1660,638,382,37,21,921,0.298,0.367,0.454,0.822
아수아헤,37,145,122,25,34,5,3,1,48,14,19,1,0,15,0.279,0.38,0.393,0.774
한동희,115,332,305,33,72,16,1,6,108,30,22,2,0,89,0.236,0.289,0.354,0.643
황진수,129,197,176,29,40,8,2,2,58,17,14,3,0,58,0.227,0.294,0.33,0.623
김문호,655,2107,1836,240,522,92,8,18,684,200,198,36,8,357,0.284,0.364,0.373,0.737
나경민,233,286,248,75,62,9,3,1,80,21,27,5,0,83,0.25,0.333,0.323,0.656
민병헌,1225,4096,3610,663,1094,181,22,88,1583,514,322,76,8,600,0.303,0.368,0.439,0.806
손아섭,1324,5690,4973,912,1615,272,25,146,2375,694,644,29,32,885,0.325,0.403,0.478,0.881
이병규,745,2443,2015,311,565,111,11,66,896,330,360,37,7,539,0.28,0.396,0.445,0.841
전준우,973,4044,3589,607,1051,208,18,121,1658,497,335,60,7,670,0.293,0.36,0.462,0.822
정훈,821,2610,2239,359,611,112,18,34,861,265,238,64,4,496,0.273,0.357,0.385,0.741
허일,37,98,88,9,24,3,0,1,30,13,9,1,0,19,0.273,0.347,0.341,0.688
김형준,65,93,84,7,13,1,0,0,14,2,8,1,0,32,0.155,0.237,0.167,0.403
박광열,132,133,124,10,28,8,1,1,41,5,6,0,0,36,0.226,0.26,0.331,0.59
신진호,29,37,34,2,5,1,0,0,6,1,3,0,0,15,0.147,0.216,0.176,0.393
양의지,1108,3975,3417,497,1032,189,7,134,1637,578,370,106,19,465,0.302,0.384,0.479,0.863
정범모,453,1039,906,80,189,46,0,17,286,89,78,9,0,254,0.209,0.276,0.316,0.591
강진성,88,137,123,17,32,7,0,2,45,10,9,2,0,29,0.26,0.319,0.366,0.684
김찬형,75,170,151,25,34,6,0,1,43,10,8,8,0,33,0.225,0.296,0.285,0.581
김철호,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김태진,55,117,111,17,32,3,2,3,48,18,5,0,0,19,0.288,0.319,0.432,0.751
노진혁,379,1042,953,120,240,56,6,23,377,94,72,3,2,231,0.252,0.305,0.396,0.701
모창민,892,2573,2314,353,652,111,10,83,1032,381,191,9,2,455,0.282,0.335,0.446,0.781
박민우,660,2703,2317,465,754,122,30,15,981,238,278,55,4,385,0.325,0.406,0.423,0.829
박석민,1388,5391,4445,753,1295,234,9,232,2243,876,684,189,25,962,0.291,0.404,0.505,0.909
손시헌,1523,5296,4600,540,1254,223,24,70,1735,548,429,109,6,681,0.273,0.346,0.377,0.723
오영수,13,20,19,0,3,0,0,0,3,0,1,0,0,8,0.158,0.2,0.158,0.358
유영준,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
이상호,464,805,745,136,211,25,1,1,241,49,29,8,0,74,0.283,0.316,0.323,0.639
지석훈,1048,2624,2314,249,521,107,10,45,783,263,183,60,2,576,0.225,0.296,0.338,0.635
권희동,525,1821,1585,219,416,76,6,53,663,265,166,32,5,297,0.262,0.341,0.418,0.759
김성욱,548,1375,1224,217,309,59,9,39,503,160,111,18,2,266,0.252,0.321,0.411,0.732
김진형,50,77,68,9,13,4,0,1,20,8,6,0,0,18,0.191,0.253,0.294,0.548
나성범,807,3556,3164,603,1000,207,23,145,1688,617,278,82,22,759,0.316,0.383,0.534,0.917
박헌욱,18,32,31,1,7,3,0,1,13,4,1,0,0,10,0.226,0.25,0.419,0.669
이우성,88,242,215,28,47,10,0,4,69,27,19,4,0,72,0.219,0.292,0.321,0.613
이원재,105,227,207,27,64,14,0,10,108,34,16,1,0,48,0.309,0.358,0.522,0.88
스크럭스,257,1089,938,166,260,59,0,61,502,208,120,24,4,278,0.277,0.371,0.535,0.906
손주인,991,2688,2334,284,630,99,8,20,805,229,182,42,1,340,0.27,0.33,0.345,0.675
러프,306,1341,1140,206,366,80,4,70,664,278,153,32,8,239,0.321,0.411,0.582,0.993
이원석,1275,4233,3736,479,999,170,16,99,1498,512,328,47,10,691,0.267,0.331,0.401,0.732
최영진,160,357,326,36,86,19,3,6,129,33,18,2,0,67,0.264,0.304,0.396,0.699
김상수,1141,4251,3715,558,1008,168,27,43,1359,412,329,68,5,577,0.271,0.338,0.366,0.704
백승민,14,32,31,3,8,2,0,0,10,5,1,0,0,9,0.258,0.281,0.323,0.604
이학주,38,136,119,13,29,3,2,3,45,12,13,1,0,25,0.244,0.321,0.378,0.699
김재현,210,272,237,33,49,7,0,0,56,20,13,8,0,58,0.207,0.27,0.236,0.507
김성훈,185,414,369,56,101,13,6,0,126,43,30,7,0,41,0.274,0.337,0.341,0.679
김호재,10,7,6,1,1,0,0,0,1,0,0,0,0,2,0.167,0.167,0.167,0.333
박계범,25,58,47,9,15,4,1,0,21,11,6,1,0,12,0.319,0.393,0.447,0.84
공민규,8,22,19,2,5,1,0,2,12,5,3,0,0,7,0.263,0.364,0.632,0.995
박한이,2123,8703,7384,1211,2172,367,32,146,3041,904,1027,70,36,1127,0.294,0.383,0.412,0.795
김헌곤,404,1309,1151,161,315,51,7,25,455,160,106,27,2,161,0.274,0.346,0.395,0.741
박찬도,211,205,177,57,41,6,2,0,51,18,17,5,1,58,0.232,0.317,0.288,0.605
박해민,737,3099,2704,508,789,122,43,23,1066,276,272,16,3,466,0.292,0.357,0.394,0.752
김동엽,330,1099,1024,139,270,41,1,55,478,171,51,15,1,234,0.264,0.306,0.467,0.773
이성곤,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
구자욱,528,2319,2044,436,670,128,36,70,1080,347,221,29,4,427,0.328,0.397,0.528,0.926
이현동,16,16,16,1,3,1,0,0,4,0,0,0,0,7,0.188,0.188,0.25,0.438
송준석,8,22,21,3,8,2,0,0,10,2,0,0,0,5,0.381,0.364,0.476,0.84
황선도,1,4,3,0,1,0,0,0,1,0,1,0,0,1,0.333,0.5,0.333,0.833
강민호,1665,6221,5414,705,1488,267,10,245,2510,865,582,131,34,1210,0.275,0.356,0.464,0.82
김민수,65,121,115,9,19,2,0,0,21,9,4,0,0,37,0.165,0.192,0.183,0.374
김응민,24,29,27,1,6,1,0,1,10,5,0,2,0,7,0.222,0.276,0.37,0.646
김도환,4,3,3,0,1,0,0,0,1,1,0,0,0,2,0.333,0.333,0.333,0.667
이재원,1013,3252,2847,336,834,145,5,92,1265,481,277,68,17,462,0.293,0.365,0.444,0.809
